seq,rank,name,industry,headquarters,country,ceo,founded,employees,revenue($M),profits($M),assets($M),mkt_value($M),forbes_webpage
190,190,Poly Developments & Holdings Group,Construction,Guangzhou,China,Dong Li Zhou,1992,"61,854","42,940","4,250","219,650","32,810",poly-developments-holdings-group
191,191,Micron Technology,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Boise, Idaho",United States,Sanjay Mehrotra,1978,"43,000","31,170","9,020","63,700","77,510",micron-technology
192,192,ANZ,Banking and Financial Services,Melbourne,Australia,Shayne Cary Elliott,1835,"40,211","18,380","4,630","707,080","56,230",anz
193,193,Fubon Financial,Insurance,Taipei,Taiwan,Yue Han,2001,"45,174","33,230","5,180","378,810","30,630",fubon-financial
194,194,China Telecom,Telecommunications Services,Beijing,China,Rui Wen Ke,2002,"278,922","68,150","4,020","121,100","35,230",china-telecom
195,195,HCA Healthcare,Health Care Equipment & Services,"Nashville, Tennessee",United States,Samuel N. Hazen,1968,"284,000","59,720","6,810","52,210","63,620",hca-healthcare
196,196,Dow,"Construction, Oil & Gas Operations, Mining and Chemicals","Midland, Michigan",United States,Jim Fitterling,1897,"17,500","58,350","6,850","63,340","50,350",dow
197,196,Telefónica,Telecommunications Services,Madrid,Spain,José María Álvarez-Pallete López,1924,"104,150","46,420","9,400","124,200","29,440",telefonica
198,198,China Vanke,Construction,Shenzhen,China,Jiu Sheng Zhu,1984,"139,494","71,420","3,500","304,190","27,920",china-vanke
199,199,NAB - National Australia Bank,Banking,Melbourne,Australia,Ross Maxwell McEwan,1981,"33,275","15,760","4,780","669,030","77,240",national-australia-bank
200,200,Cathay Financial,Insurance,Taipei,Taiwan,Chang Li,1975,"57,100","34,460","4,990","418,700","28,900",cathay-financial
201,201,Qualcomm,Semiconductors,"San Diego, California",United States,Cristiano R. Amon,1985,"45,000","36,040","9,990","42,820","149,680",qualcomm
202,202,L'Oréal,Packaged Goods,Clichy,France,Nicolas Hieronimus,1909,"85,252","38,160","5,430","48,910","195,520",loreal
203,203,Allstate,Insurance,"Markham, Ontario",Canada,Thomas Joseph Wilson II,1931,"54,700","50,590","5,690","90,660","36,450",allstate
204,204,SAIC Motor,Consumer Durables,Shanghai,China,Wang Xiaoqiu,1955,"204,815","121,420","3,710","133,970","28,870",saic-motor
205,205,ICICI Bank,Banking,Vadodara,India,Sandeep Bakhshi,1994,"98,750","21,890","3,010","226,390","67,900",icici-bank
206,206,China Everbright Bank,Banking,Beijing,China,Haijiao Ge,1992,"46,175","42,380","6,720","926,050","20,110",china-everbright-bank
207,207,Gilead Sciences,Drugs & Biotechnology,"Foster City, California",United States,Daniel O'Day,1987,"14,000","27,370","6,220","67,950","78,170",gilead-sciences
208,208,China Pacific Insurance,Insurance,Shanghai,China,Candy Yuen,1991,"107,000","68,070","4,160","300,520","22,690",china-pacific-insurance
209,209,NVIDIA,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Santa Clara, California",United States,Jensen Huang,1993,"22,473","26,910","9,750","44,190","489,830",nvidia
210,210,Amgen,Drugs & Biotechnology,"Thousand Oaks, California",United States,Robert Bradway,1980,"24,000","25,990","5,890","61,160","133,630",amgen
211,211,Union Pacific,Transportation,"Omaha, Nebraska",United States,Lance M. Fritz,1862,"29,905","22,660","6,810","64,050","147,230",union-pacific
212,212,Dai-ichi Life Insurance,Insurance,Tokyo,Japan,Seiji Inagaki,1902,"64,823","66,730","4,470","571,450","19,900",dai-ichi-life-insurance
213,212,Nike,"Apparel, Footwear, Accessories","Beaverton, Oregon",United States,John Donahoe,1964,"79,100","46,890","6,120","38,580","203,130",nike
214,214,Takeda Pharmaceutical,Drugs & Biotechnology,Tokyo,Japan,Christophe Weber,1781,"47,099","31,550","3,990","110,270","45,320",takeda-pharmaceutical
215,215,Philip Morris International,"Food, Drink & Tobacco","New York, New York",United States,Jacek Olczak,1847,"69,600","31,510","9,000","41,730","159,180",philip-morris-international
216,216,PayPal,Banking and Financial Services,"San Jose, California",United States,Dan Schulman,1998,"30,900","25,560","4,170","75,800","100,220",paypal
217,217,China Resources Land,Construction,Hong Kong,Hong Kong,Yong Tang,1994,"49,478","33,610","5,030","149,030","32,450",china-resources-land
218,218,Oversea-Chinese Banking,Banking,Singapore,Singapore,Pik Kuen Wong,1912,"30,809","22,890","3,620","402,170","39,710",oversea-chinese-banking
219,219,Midea Group,"Engineering, Manufacturing",Guandong,China,Fang Hongbo,1968,"166,000","50,600","4,400","58,240","60,550",midea-group
220,220,Travelers,Insurance,"New York, New York",United States,Alan D. Schnitzer,1864,"30,000","35,310","3,920","108,590","41,540",travelers
221,221,Eli Lilly,Drugs & Biotechnology,"Indianapolis, Indiana",United States,David A. Ricks,1876,"36,000","28,320","5,580","48,810","265,450",eli-lilly
222,222,Mondelez International,"Food, Drink & Tobacco","Chicago, Illinois",United States,Dirk van de Put,2012,"79,000","28,720","4,300","67,090","89,980",mondelez-international
223,223,McDonald's,"Hotels, Restaurants & Leisure","Chicago, Illinois",United States,Christopher J. Kempczinski,1955,"200,000","23,220","7,550","53,850","185,030",mcdonalds
224,224,General Electric,"Engineering, Manufacturing","Mississauga, Ontario",Canada,H. Lawrence Culp Jr.,1892,"168,000","74,080","1,170","198,870","98,130",general-electric
225,225,Société Générale,Banking and Financial Services,Paris,France,Frédéric Oudéa,1864,"117,000","35,570","5,970","1,665,370","19,370",societe-generale
226,226,Schneider Electric,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Rueil-Malmaison,France,Jean-Pascal Tricoire,1836,"128,000","34,160","3,790","62,030","85,360",schneider-electric
227,227,3M,Packaged Goods,"St. Paul, Minnesota",United States,Mike Roman,1902,"38,000","35,350","5,920","47,070","84,900",3m
228,228,Aflac,Insurance,"Columbus, Georgia",United States,Daniel P. Amos,1955,"4,851","22,110","4,330","164,550","41,150",aflac
229,229,Oil & Natural Gas,Oil & Gas Operations,New Delhi,India,Alka Mittal,1956,"51,280","66,280","6,000","75,510","28,620",oil-natural-gas
230,230,Southern Company,Utilities,"Atlanta, Georgia",United States,Tom Fanning,1945,"28,000","23,230","2,410","127,530","80,480",southern-company
231,231,Deutsche Bank,Banking,Frankfurt,Germany,Christian Sewing,1870,"82,969","36,700","2,660","1,505,640","24,540",deutsche-bank
232,232,PTT,Oil & Gas Operations,Bangkok,Thailand,Auttapol Rerkpiboon,1978,na,"70,550","3,380","92,140","31,340",ptt
233,233,CK Hutchison,Conglomerates,Hong Kong,Hong Kong,Tzar Kuoi Li,2014,"300,000","36,130","4,310","155,650","27,910",ck-hutchison
234,234,Canadian Natural Resources,Oil & Gas Operations,Calgary,Canada,Murray Edwards,1973,"9,735","23,970","6,110","60,690","74,270",canadian-natural-resources
235,235,Sun Life Financial,Banking and Financial Services,Toronto,Canada,Kevin D. Strain,1865,"3,500","29,820","3,220","270,500","30,710",sun-life-financial
236,236,Northrop Grumman,Aerospace & Defense,"Falls Church, Virginia",United States,Kathy Warden,1939,"90,000","35,670","7,000","42,580","69,840",northrop-grumman
237,237,Archer Daniels Midland,"Food, Drink & Tobacco","Chicago, Illinois",United States,Juan Ricardo Luciano,1902,"41,000","85,260","2,710","56,140","51,850",archer-daniels-midland
238,238,Marathon Petroleum,Oil & Gas Operations,"Findlay, Ohio",United States,Michael J. Hennigan,2009,"17,700","119,780","1,720","85,370","48,640",marathon-petroleum
239,239,China Minsheng Bank,Banking,Beijing,China,Wan Chun Zheng,1996,"60,232","50,080","4,800","1,090,920","16,740",china-minsheng-bank
240,240,Legal & General Group,Insurance,London,United Kingdom,Nigel David Wilson,1836,"15,104","62,510","2,790","779,430","19,630",legal-general-group
241,241,Netflix,Media & Advertising,"Los Gatos, California",United States,Reed Hastings Ted Sarandos,1997,"11,300","30,400","5,010","45,330","95,680",netflix
242,242,Progressive,Insurance,"Mayfield Village, Ohio",United States,Tricia Griffith,1937,"55,000","48,070","2,180","68,910","63,370",progressive
243,243,Longfor Group Holdings,Construction,Beijing,China,Xu Ping Chen,1993,"44,065","34,800","3,700","137,390","30,050",longfor-group-holdings
244,244,DBS,Banking,Singapore,Singapore,Piyush Gupta,1968,"33,000","12,400","4,980","509,070","63,030",dbs
245,245,Cosco Shipping,Transportation,Tianjin,China,Zhi Jian Yang,2005,"26,852","51,770","13,850","64,910","25,800",cosco-shipping
246,246,China Communications Construction,Construction,Beijing,China,Qi Tao Liu,2006,"135,813","108,410","3,030","222,700","19,100",china-communications-construction
247,247,NatWest Group,Banking,Edinburgh,United Kingdom,Alison Marie Rose-Slade,1968,"57,800","17,860","4,410","1,059,170","30,220",natwest-group
248,248,Exelon,Utilities,"Chicago, Illinois",United States,Chris M. Crane,2000,"31,518","39,270","1,710","133,010","47,680",exelon
249,248,Humana,Insurance,"Louisville, Kentucky",United States,Bruce D. Broussard ,1961,"95,500","84,090","2,930","44,750","56,340",humana
250,250,General Dynamics,Aerospace & Defense,"Reston, Virginia",United States,Phebe Novakovic,1952,"87,635","38,470","3,260","50,070","66,420",general-dynamics
251,251,Power Corp of Canada,Diversified Financials,Montréal,Canada,Robert Jeffrey Orr,1925,"33,700","57,930","2,370","507,060","20,470",power-corp-of-canada
252,252,Qatar National Bank,Banking,Doha,Qatar,Abdulla Mubarak Nasser Al-Khalifa,1964,na,"14,200","3,440","304,380","59,090",qatar-national-bank
253,253,Bayer,Drugs & Biotechnology,Leverkusen,Germany,Werner Baumann,1863,"99,637","52,100","1,180","144,170","70,060",bayer
254,253,KKR,Diversified Financials,"New York, New York",United States,Scott Nuttall Joseph Bae,1976,"3,238","19,020","4,670","264,290","30,600",kkr
255,255,Country Garden Holdings,Construction,Foshan,China,Tzar Kuoi Li,1992,"131,387","81,130","4,150","305,700","15,650",country-garden-holdings
256,256,NextEra Energy,Utilities,"Juno Beach, Florida",United States,James L. Robo,1984,"15,000","23,740","1,460","144,940","145,270",nextera-energy
257,257,KB Financial Group,Banking,Seoul,South Korea,Jong-Kyoo Yoon,1963,164,"33,860","3,790","560,380","19,290",kb-financial-group
258,258,China Railway Group,Construction,Beijing,China,Chen Wenjian,1989,"294,013","166,460","3,950","213,640","15,360",china-railway-group
259,259,HP,Electronics,"Palo Alto, California",United States,Enrique Lores,1939,"51,000","64,980","6,520","38,910","38,750",hp
260,260,Nordea Bank,Banking,Helsinki,Finland,Frank Vang-Jensen,1974,"26,894","13,560","4,500","648,830","40,260",nordea-bank
261,261,Seven & I Holdings,Food Markets,Tokyo,Japan,Dong Ning Zhang,2005,na,"78,470","1,890","75,880","39,190",seven-i-holdings
262,262,Suncor Energy,"Construction, Oil & Gas Operations, Mining and Chemicals",Calgary,Canada,Kris Smith,1967,"13,000","31,210","3,290","66,290","46,270",suncor-energy
263,263,Salesforce.com,"IT, Internet, Software & Services","San Francisco, California",United States,Marc Benioff,1999,"40,447","26,490","1,440","99,180","169,720",salesforce
264,264,Air Liquide,"Construction, Oil & Gas Operations, Mining and Chemicals",Paris,France,Benoît Potier,1902,"66,436","27,580","3,040","53,200","81,850",air-liquide
265,265,Denso,Automotive (Automotive and Suppliers),Kariya,Japan,Koji Arima,1949,"168,391","49,490","2,510","61,510","45,140",denso
266,266,Bank of New York Mellon,Banking,"New York, New York",United States,Thomas P. Gibbons,1965,"49,100","16,090","3,600","473,810","35,680",bank-of-ny-mellon
267,267,Mastercard,na,"New York, New York",United States,Michael Miebach,1966,"24,000","18,880","8,690","37,670","343,270",mastercard
268,268,Banco do Brasil,Banking,Brasília,Brazil,Fausto de Andrade Ribeiro,1808,"84,597","29,540","3,400","362,530","20,700",banco-do-brasil
269,269,Centene,Insurance,"St. Louis, Missouri",United States,Sarah London,1984,"83,200","125,980","1,350","79,760","49,200",centene
270,269,HDFC,Business Services & Supplies,Mumbai,India,Keki M. Mistry,1977,"5,490","18,480","2,910","118,610","52,300",hdfc
271,271,Freeport-McMoRan,Materials,"Phoenix, Arizona",United States,Richard Adkerson,1897,"24,700","24,310","5,110","48,830","60,970",freeport-mcmoran
272,272,"Merck KGaA, Darmstadt, Germany and its affiliates",Drugs & Biotechnology,Darmstadt,Germany,Belén Garijo López,1668,"60,334","23,270","3,610","52,130","82,530",merck-kgaa-germany
273,273,CaixaBank,Banking,Valencia,Spain,Gonzalo Gortázar Rotaeche,1980,"49,762","14,640","6,180","773,340","26,820",caixabank
274,274,ABB,"Engineering, Manufacturing",Zürich,Switzerland,Björn Rosengren,1988,"110,000","28,930","4,650","42,270","61,350",abb
275,274,Volvo Group,Automotive (Automotive and Suppliers),Goteborg,Sweden,Martin Lundstedt,1927,"95,850","43,360","3,820","57,790","34,700",volvo-group
276,276,Occidental Petroleum,Oil & Gas Operations,"Houston, Texas",United States,Vicki A. Hollub,1920,"11,678","25,960","2,310","78,470","53,050",occidental-petroleum
277,277,National Grid,Utilities,London,United Kingdom,John Mark Pettigrew,1990,"23,683","20,770","2,070","119,920","54,880",national-grid
278,278,McKesson,na,"Irving, Texas",United States,Brian S. Tyler,1833,"76,000","257,010","1,410","63,710","47,660",mckesson
279,279,Shinhan Financial Group,Diversified Financials,Seoul,South Korea,Yong-Byoung Cho,2001,"20,000","29,270","3,570","545,240","18,170",shinhan-financial-group
280,280,ASML Holding,Semiconductors,Veldhoven,Netherlands,Peter T. F. M Wennink,1984,"29,861","20,650","6,090","33,640","247,800",asml-holding
281,281,Nutrien,Chemicals,Saskatoon,Canada,Kenneth A. Seitz,2017,"23,500","27,630","3,140","49,950","57,390",nutrien
282,282,Investor AB,Diversified Financials,Stockholm,Sweden,Johan Patrik Lennart Forssell,1916,"20,054","12,810","8,030","77,860","63,510",investor-ab
283,283,KIA,Consumer Durables,Seoul,South Korea,Ho-Sung Song,1944,"35,501","61,010","4,160","56,240","25,820",kia
284,283,Saint-Gobain,Construction,La Defense,France,Benoît Bazin,1665,"167,816","52,200","2,980","58,660","31,170",saint-gobain
285,285,Novo Nordisk,Drugs & Biotechnology,Bagsværd,Denmark,Lars Fruergaard Jørgensen,1989,"47,792","22,380","7,590","29,740","252,910",novo-nordisk
286,285,Posco,Materials,Seoul,South Korea,"In-Hwa Chang, Jeong-Woo Choi",1968,"18,247","66,660","5,770","76,950","18,030",posco
287,287,Diageo,"Food, Soft Beverages, Alcohol & Tobacco",London,United Kingdom,Ivan M. Menezes,1997,"27,987","19,000","4,190","44,910","116,050",diageo
288,288,Royal Ahold Delhaize N.V.,Food Markets,Zaandam,Netherlands,Frans Willem Henri Muller,2016,"259,000","89,360","2,660","51,980","30,570",royal-ahold-delhaize
289,289,PICC,Insurance,Beijing,China,Luo Xi,1949,"184,364","90,100","3,320","209,720","14,370",picc
290,290,Dominion Energy,Utilities,"Richmond, Virginia",United States,Robert M. Blue,1983,"17,100","13,960","3,290","99,590","68,820",dominion-energy
291,291,Kroger,Food Markets,"Cincinnati, Ohio",United States,W. Rodney McMullen,1883,"420,000","137,890","1,640","51,830","41,230",kroger
292,292,Baoshan Iron & Steel,Materials,Shanghai,China,Angui Hou,2000,"47,710","55,520","4,060","62,170","23,350",baoshan-iron-steel
293,293,Kweichow Moutai,"Food, Drink & Tobacco",Renhuai,China,Jing Ren Li,1999,"29,971","14,600","8,130","40,040","343,320",kweichow-moutai
294,293,Xiaomi,Technology Hardware & Equipment,Beijing,China,Jun Lei,2010,"33,427","50,910","2,980","45,960","37,030",xiaomi
295,295,Bank of Ningbo,Banking,Ningbo,China,Meng Bo Luo,1997,"24,177","13,710","3,030","316,260","37,670",bank-of-ningbo
296,296,Ecopetrol,Oil & Gas Operations,Bogota,Colombia,Jaime Eduardo Caballero Uribe,1948,"15,000","23,430","4,450","60,010","36,070",ecopetrol
297,297,LyondellBasell Industries,Chemicals,London,United Kingdom,Kenneth T. Lane,2007,"19,100","46,150","5,600","36,740","34,940",lyondellbasell-industries
298,298,Contemporary Amperex Technology,Capital Goods,Ningde,China,Jia Zhou,2011,"49,295","20,140","2,470","48,270","148,420",contemporary-amperex-technology
299,299,UniCredit,Banking,Milan,Italy,Andrea Orcel,1998,"87,165","27,790","1,780","1,042,440","21,620",unicredit
300,300,AmerisourceBergen,Drugs & Biotechnology,"Chesterbrook, Pennsylvania",United States,Steven H. Collis,1969,"42,000","221,100","1,610","57,580","33,250",amerisourcebergen
301,301,EssilorLuxottica,Health Care Equipment & Services,Paris,France,Francesco Milleri,2018,"182,684","23,430","1,730","67,580","79,450",essilorluxottica
302,302,Inditex,Retail and Wholesale,Arteixo,Spain,Oscar García Maceiras,1985,"165,042","32,570","3,810","32,450","68,150",inditex
303,303,Starbucks,Restaurants,"Seattle, Washington",United States,Howard Schultz,1971,"245,000","30,360","4,390","28,830","89,630",starbucks
